Sector,Stock,Date,CNN,LSTM,Hybrid,Transformer
FMCG,ITC,10-11-2025,414.2099914550781,415.1600036621094,413.2200012207031,384.8399963378906
FMCG,ITC,11-11-2025,415.2799987792969,414.54998779296875,411.8699951171875,384.9200134277344
FMCG,ITC,12-11-2025,411.7200012207031,414.5400085449219,415.3500061035156,385.0400085449219
FMCG,ITC,13-11-2025,415.44000244140625,415.0899963378906,414.75,385.1199951171875
FMCG,NESTLEIND,07-11-2025,1259.8800048828125,1268.4200439453125,1251.68994140625,1081.0699462890625
FMCG,NESTLEIND,10-11-2025,1253.739990234375,1267.4599609375,1254.1700439453125,1081.0699462890625
FMCG,NESTLEIND,11-11-2025,1249.0400390625,1265.300048828125,1254.260009765625,1081.1700439453125
FMCG,NESTLEIND,12-11-2025,1253.1199951171875,1262.8900146484375,1252.5699462890625,1081.25
FMCG,NESTLEIND,13-11-2025,1249.31005859375,1261.8900146484375,1246.6099853515625,1081.469970703125
FMCG,TATACONSUM,07-11-2025,1174.199951171875,1177.93994140625,1181.9000244140625,898.9299926757812
FMCG,TATACONSUM,10-11-2025,1163.2900390625,1161.9599609375,1176.77001953125,899.1500244140625
FMCG,TATACONSUM,11-11-2025,1170.989990234375,1172.8599853515625,1172.93994140625,899.3499755859375
FMCG,TATACONSUM,12-11-2025,1178.3599853515625,1164.699951171875,1175.0,899.5599975585938
FMCG,TATACONSUM,13-11-2025,1182.5699462890625,1178.449951171875,1178.2099609375,899.7000122070312
Healthcare,APOLLOHOSP,07-11-2025,7744.52001953125,7508.4501953125,7652.830078125,5378.7001953125
Healthcare,APOLLOHOSP,10-11-2025,7758.52001953125,7581.4599609375,7577.080078125,5381.52978515625
Healthcare,APOLLOHOSP,11-11-2025,7634.97998046875,7601.5498046875,7673.06005859375,5384.35986328125
Healthcare,APOLLOHOSP,12-11-2025,7649.8798828125,7576.35009765625,7628.6201171875,5386.740234375
Healthcare,APOLLOHOSP,13-11-2025,7671.93017578125,7543.669921875,7627.97021484375,5389.490234375
Healthcare,CIPLA,07-11-2025,1530.47998046875,1540.97998046875,1535.1400146484375,1167.7099609375
Healthcare,CIPLA,10-11-2025,1514.6600341796875,1531.219970703125,1525.72998046875,1168.0999755859375
Healthcare,CIPLA,11-11-2025,1534.010009765625,1539.1700439453125,1519.4300537109375,1168.4599609375
Healthcare,CIPLA,12-11-2025,1526.2900390625,1531.4200439453125,1533.280029296875,1168.8599853515625
Healthcare,CIPLA,13-11-2025,1525.31005859375,1527.0699462890625,1536.97998046875,1169.199951171875
Healthcare,DIVISLAB,07-11-2025,6639.93994140625,6523.39013671875,6501.7001953125,3806.510009765625
Healthcare,DIVISLAB,10-11-2025,6632.669921875,6615.1201171875,6555.509765625,3809.8798828125
Healthcare,DIVISLAB,11-11-2025,6651.47021484375,6668.2900390625,6520.0400390625,3813.550048828125
Healthcare,DIVISLAB,12-11-2025,6634.93994140625,6581.18017578125,6569.68017578125,3817.030029296875
Healthcare,DIVISLAB,13-11-2025,6683.72021484375,6601.10009765625,6560.10009765625,3820.639892578125
Healthcare,MAXHEALTH,07-11-2025,1158.4100341796875,1167.0,1155.2099609375,671.6300048828125
Healthcare,MAXHEALTH,10-11-2025,1175.280029296875,1177.2099609375,1149.739990234375,672.5700073242188
Healthcare,MAXHEALTH,11-11-2025,1138.3599853515625,1187.5400390625,1157.0400390625,673.4400024414062
Healthcare,MAXHEALTH,12-11-2025,1176.9000244140625,1167.6199951171875,1146.25,674.1199951171875
Healthcare,MAXHEALTH,13-11-2025,1153.2900390625,1180.969970703125,1151.2099609375,674.9400024414062
Healthcare,SUNPHARMA,07-11-2025,1695.530029296875,1705.8900146484375,1700.9100341796875,1270.1199951171875
Healthcare,SUNPHARMA,10-11-2025,1694.75,1710.1600341796875,1703.550048828125,1271.010009765625
Healthcare,SUNPHARMA,11-11-2025,1693.6099853515625,1709.3199462890625,1708.0799560546875,1271.800048828125
Healthcare,SUNPHARMA,12-11-2025,1688.699951171875,1695.4100341796875,1708.260009765625,1272.760009765625
Healthcare,SUNPHARMA,13-11-2025,1690.8699951171875,1703.530029296875,1716.530029296875,1273.6300048828125
IT,HCLTECH,07-11-2025,1555.9000244140625,1516.1500244140625,1536.510009765625,1254.9100341796875
IT,HCLTECH,10-11-2025,1530.4300537109375,1528.3399658203125,1548.68994140625,1255.9300537109375
IT,HCLTECH,11-11-2025,1532.3399658203125,1535.06005859375,1539.47998046875,1256.8199462890625
IT,HCLTECH,12-11-2025,1543.81005859375,1527.25,1529.0899658203125,1257.9100341796875
IT,HCLTECH,13-11-2025,1524.780029296875,1547.3199462890625,1538.010009765625,1258.9000244140625
IT,INFY,07-11-2025,1451.4000244140625,1473.3399658203125,1456.75,1411.6600341796875
IT,INFY,10-11-2025,1469.72998046875,1475.4300537109375,1467.18994140625,1412.010009765625
IT,INFY,11-11-2025,1453.280029296875,1471.7099609375,1458.9000244140625,1412.4300537109375
IT,INFY,12-11-2025,1455.75,1466.0699462890625,1468.780029296875,1412.9300537109375
IT,INFY,13-11-2025,1444.06005859375,1485.760009765625,1457.68994140625,1413.3199462890625
IT,TCS,07-11-2025,3048.340087890625,3022.7900390625,3033.989990234375,3443.070068359375
IT,TCS,10-11-2025,3088.469970703125,3036.56005859375,3055.909912109375,3443.919921875
IT,TCS,11-11-2025,3068.239990234375,3038.570068359375,3049.93994140625,3444.77001953125
IT,TCS,12-11-2025,3118.909912109375,3040.719970703125,3055.56005859375,3445.590087890625
IT,TCS,13-11-2025,3072.89990234375,3039.219970703125,3056.5400390625,3446.47998046875
IT,TECHM,07-11-2025,1414.449951171875,1431.22998046875,1413.0400390625,1178.43994140625
IT,TECHM,10-11-2025,1417.9300537109375,1444.9100341796875,1378.8299560546875,1179.31005859375
IT,TECHM,11-11-2025,1430.7900390625,1445.3199462890625,1409.760009765625,1180.2099609375
IT,TECHM,12-11-2025,1435.27001953125,1454.530029296875,1412.6700439453125,1180.969970703125
